# HJD Ha red yellow Hb He2 blue
2453965.57925 9.91 7.95 5.93 5.48 8.75 4.21
2453965.57938 12.81 8.97 6.23 6.67 8.96 5.48
2453965.5795 12.75 8.15 6.89 7.19 9.74 3.93
2453965.57963 17.32 8.34 6.49 8.01 8.03 5.64
2453965.57976 13.87 7.42 7.96 10.71 7.41 4.82
2453965.57989 22.12 6.97 5.54 6.05 8.94 4.85
2453965.58003 14.13 7.68 7.18 7.42 15.65 4.13
2453965.58015 10.36 9.24 7.53 8.77 11.22 4.61
2453965.58028 11.73 7.99 6.22 9.81 6.46 4.48
2453965.58042 24.10 9.44 8.66 7.68 5.52 4.97
2453965.58055 15.46 8.83 8.02 8.72 7.77 6.20
2453965.58067 12.96 8.49 7.96 7.35 6.65 5.48
2453965.5808 15.22 8.74 7.10 5.65 15.41 5.11
2453965.58094 14.29 10.04 6.88 6.59 6.45 5.36
2453965.58107 16.49 9.83 9.74 9.64 9.98 7.37
2453965.58119 15.00 9.37 6.31 6.42 6.57 4.78
2453965.58133 11.47 9.36 7.90 6.20 6.04 5.56
2453965.58146 13.24 7.97 7.85 7.67 5.99 5.14
2453965.58159 10.82 7.92 7.71 9.03 8.25 6.32
2453965.58172 15.60 7.55 5.97 6.25 6.98 5.00
2453965.58184 0.30 0.03 0.04 -0.12 0.60 0.37
