# HJD Ha red yellow Hb He2 blue
2453965.57269 10.06 5.96 3.73 5.42 5.60 2.82
2453965.57282 11.04 5.66 5.35 2.80 5.27 3.50
2453965.57294 15.31 6.49 5.85 4.43 6.58 4.30
2453965.57307 12.25 6.46 5.00 6.17 6.48 3.16
2453965.5732 15.01 7.50 5.42 6.73 8.55 3.64
2453965.57332 13.73 4.36 3.63 3.99 5.46 2.23
2453965.57345 12.01 6.55 5.52 7.59 6.21 3.88
2453965.57358 11.42 6.40 5.98 7.87 6.07 4.48
2453965.57371 15.07 7.81 4.87 5.60 7.31 3.66
2453965.57383 12.38 6.15 5.15 5.88 7.59 3.54
2453965.57397 11.82 5.79 5.17 6.50 5.58 3.79
2453965.57409 11.70 5.67 4.80 6.70 5.88 3.76
2453965.57423 14.67 7.26 4.44 5.15 5.79 3.52
2453965.57435 10.32 5.81 4.88 4.56 7.38 3.70
2453965.57448 14.80 6.11 4.91 5.30 7.31 4.17
2453965.57461 8.62 6.05 5.03 8.08 7.43 3.74
2453965.57475 13.95 5.79 5.54 5.14 6.43 3.20
2453965.57488 15.06 6.19 5.65 5.97 8.38 3.86
2453965.575 12.25 6.52 6.65 6.16 9.83 3.92
2453965.57513 9.94 7.28 5.01 4.72 5.33 3.77
2453965.57526 18.08 5.97 5.64 5.69 9.96 4.02
2453965.57538 8.91 5.02 5.20 5.49 6.99 3.37
2453965.57551 9.45 6.20 5.53 6.58 7.71 3.85
2453965.57564 12.44 5.63 5.06 6.16 7.52 3.04
2453965.57577 7.79 5.77 5.62 5.04 4.66 3.59
2453965.57589 10.08 5.85 4.94 4.37 5.64 0.53
2453965.57602 12.83 6.58 4.59 6.57 11.61 3.50
2453965.57615 15.11 6.19 5.37 4.06 8.34 3.95
2453965.57629 14.42 7.90 7.71 7.34 8.10 5.09
2453965.57641 15.75 7.04 6.26 7.66 8.18 5.78
2453965.57654 20.02 6.87 5.88 6.55 6.79 4.04
2453965.57667 12.40 6.12 5.77 3.81 7.34 3.03
2453965.5768 13.21 6.83 5.81 6.51 9.68 3.24
2453965.57692 13.15 6.63 5.87 5.45 7.41 4.34
2453965.57705 11.68 6.17 5.42 5.86 5.32 3.51
2453965.57718 11.89 6.53 6.27 7.87 7.41 4.99
2453965.57731 12.87 6.08 5.27 7.28 9.57 4.33
2453965.57744 14.12 6.61 5.33 5.31 7.88 4.08
2453965.57757 12.27 6.90 6.27 6.28 8.12 3.93
2453965.5777 9.13 7.07 6.09 5.65 9.72 4.15
2453965.57784 16.73 5.85 4.67 4.97 5.22 3.66
2453965.57797 10.27 6.01 5.46 4.94 11.63 4.06
2453965.57809 14.81 6.69 5.07 8.77 11.45 3.80
2453965.57822 9.94 5.92 4.44 6.04 7.91 3.21
2453965.57835 10.75 4.97 5.06 6.64 7.88 3.84
2453965.57848 13.78 6.54 5.83 6.28 6.32 4.24
2453965.5786 18.49 9.25 8.36 7.65 15.41 4.97
2453965.57873 15.00 8.89 6.90 6.56 10.48 4.89
2453965.57886 16.65 8.16 6.84 8.02 9.43 5.03
2453965.579 9.63 7.56 2.95 7.49 10.07 4.37
2453965.57912 14.49 8.49 8.20 7.93 9.91 6.29
2453965.57925 9.89 7.77 6.12 5.57 8.80 4.26
2453965.57938 12.86 9.07 6.37 6.79 9.09 5.26
2453965.5795 12.75 8.13 6.92 7.24 9.63 3.90
2453965.57963 17.47 8.27 6.45 8.24 8.13 5.53
2453965.57976 13.93 7.45 8.20 10.83 7.57 4.66
2453965.57989 21.96 6.99 5.78 6.16 8.99 4.71
2453965.58003 14.30 7.47 7.26 7.44 15.75 4.13
2453965.58015 10.39 9.33 7.84 8.90 11.35 4.45
2453965.58028 11.80 8.04 6.28 9.99 6.52 4.40
2453965.58042 24.54 9.63 8.67 7.82 5.57 4.96
2453965.58055 15.32 8.82 8.30 8.92 7.81 5.92
2453965.58067 13.01 8.65 8.18 7.48 6.74 5.35
2453965.5808 15.43 8.67 7.21 5.73 15.80 5.02
2453965.58094 14.25 10.04 7.06 6.69 6.57 5.33
2453965.58107 16.71 9.78 9.99 9.78 9.97 6.91
2453965.58119 15.11 9.17 6.38 6.49 6.70 4.68
2453965.58133 11.51 9.34 8.11 6.30 6.07 5.56
2453965.58146 13.32 8.05 8.07 7.72 6.05 5.09
2453965.58159 10.89 7.85 7.92 9.19 8.34 6.24
2453965.58172 15.67 7.38 5.94 6.29 7.03 4.86
2453965.58184 0.30 0.03 0.04 -0.12 0.60 0.37
